wav_filename,wav_filesize,transcript
wav/sample_0001.wav,25830,新闻开始
wav/sample_0002.wav,32950,听众朋友早上好
wav/sample_0003.wav,91068,在其他方面您将了解到天坛医院
wav/sample_0004.wav,57116,最小相对湿度百分之二十
wav/sample_0005.wav,85362,已经成为世界公害和全球性挑战
wav/sample_0006.wav,46620,实施了进一步措施
wav/sample_0007.wav,61970,急需加强合作应对
wav/sample_0008.wav,209550,另一方面在当前大力宣扬传统文化的背景下一些心怀不轨的人从中作梗
wav/sample_0009.wav,78608,不是中国古代文化的精髓出了问题
wav/sample_0010.wav,163050,而是现代人对这种知识的一知半解和片面的理解所导致的
wav/sample_0011.wav,97918,要让大家正确认识传统文化的精髓
wav/sample_0012.wav,167314,来关注一下路面的情况刚刚提示的这个北六环外环方向学子桥西
wav/sample_0013.wav,96970,一百六十九公里处的这个交通事故呢已经处理完毕了
wav/sample_0014.wav,185180,受事故影响交通压力集中的学子桥西到学子桥路段目前交通呢正在逐步的恢复当中
wav/sample_0015.wav,90438,湖南株洲神农公园菊花展
wav/sample_0016.wav,132338,结束之后公园方呢把菊花免费送给市民
wav/sample_0017.wav,64076,结果许多市民开始疯抢
wav/sample_0018.wav,28264,有的要花
wav/sample_0019.wav,29608,有的要盆儿
wav/sample_0020.wav,27614,有的要土
wav/sample_0021.wav,46234,现场十分混乱
wav/sample_0022.wav,26764,一片狼藉
wav/sample_0023.wav,27830,我们来听一听
wav/sample_0024.wav,31750,现场的声音
wav/sample_0025.wav,37134,相同的情况
wav/sample_0026.wav,39512,把花送给市民
wav/sample_0027.wav,30400,本来是好意
wav/sample_0028.wav,93412,却因为管理不够导致出现了混乱的场面
wav/sample_0029.wav,66832,你说大家把花搬走错了吗
wav/sample_0030.wav,27860,没毛病啊
wav/sample_0031.wav,36344,可是问题在于
wav/sample_0032.wav,36528,吃相难看
wav/sample_0033.wav,75308,花拿回家可以装点我们的生活
wav/sample_0034.wav,121480,但是不要让这种不好的记忆取代花的美好
wav/sample_0035.wav,139464,随着考研的临近啊各位同学们为了抢占一个好的座位学习
wav/sample_0036.wav,62578,也是绞尽脑汁花样百出
wav/sample_0037.wav,62304,已经排起了长长的队伍
wav/sample_0038.wav,67454,我们来听听大家都是几点起床的
wav/sample_0039.wav,107032,这种学习的精神也真是令人佩服啊
wav/sample_0040.wav,95032,翻墙这种危险的事儿啊最好还是不要做了
wav/sample_0041.wav,111896,另外学校是不是也应该针对这样的情况想一点儿措施
wav/sample_0042.wav,24478,怎么能够
wav/sample_0043.wav,25750,休息
wav/sample_0044.wav,19626,安全
wav/sample_0045.wav,36872,和看书的环境
wav/sample_0046.wav,103934,毕竟啊为大家提供一个良好有序的学习环境
wav/sample_0047.wav,21614,本来
wav/sample_0048.wav,28062,也是学校
wav/sample_0049.wav,30400,应该做的
wav/sample_0050.wav,43416,起点过后是交通新闻
wav/sample_0051.wav,49246,您将听到以下主要内容
wav/sample_0052.wav,26252,新机遇
wav/sample_0053.wav,186134,西外大街西延工程本月开工西四环到西五环之间将新增快速联络通道
wav/sample_0054.wav,22094,我们再见
wav/sample_0055.wav,58656,在七点过后的交通新闻
wav/sample_0056.wav,23646,大家好
wav/sample_0057.wav,70732,我是汇巢别墅装饰的小王儿
wav/sample_0058.wav,54646,在我们的装修过程中
wav/sample_0059.wav,55442,在我们的装修过程中
wav/sample_0060.wav,132742,经常会碰到受到地下室返潮发霉困扰的客户
wav/sample_0061.wav,127620,通常地下室返潮发霉最常见的原因有几种
wav/sample_0062.wav,47570,一是建筑质量问题
wav/sample_0063.wav,70360,二是新建筑含水蒸发
wav/sample_0064.wav,48688,三是季节性原因
wav/sample_0065.wav,66230,解决建筑地下室构造性渗漏
wav/sample_0066.wav,35640,要重新修复
wav/sample_0067.wav,69446,建筑的防水层防潮层
wav/sample_0068.wav,51354,地下室构造含水蒸发
wav/sample_0069.wav,24770,四零零
wav/sample_0070.wav,28274,六五零
wav/sample_0071.wav,32222,二八六八
wav/sample_0072.wav,49124,您正在收听的是
wav/sample_0073.wav,58738,北京人民广播电台
wav/sample_0074.wav,47030,交通广播
wav/sample_0075.wav,55328,现在是森林防火期
wav/sample_0076.wav,59146,用火请远离林区
wav/sample_0077.wav,41402,发现森林火情
wav/sample_0078.wav,104304,今年是北京市二零一三至二零一七年
wav/sample_0079.wav,80558,清洁空气计划收官之年
wav/sample_0080.wav,38840,北京市统计局
wav/sample_0081.wav,98424,针对居民煤改清洁能源成效
wav/sample_0082.wav,72094,在全市开展了专项调研
wav/sample_0083.wav,25100,调研发现
wav/sample_0084.wav,50694,居民普遍反映
wav/sample_0085.wav,77304,改造后取暖温度明显上升
wav/sample_0086.wav,19510,其中呢
wav/sample_0087.wav,107830,城区改造后取暖温度平均上升了两度
wav/sample_0088.wav,63172,郊区上升了零点七度
wav/sample_0089.wav,27814,居民表示
wav/sample_0090.wav,35586,改造后呢
wav/sample_0091.wav,41458,省时省力
wav/sample_0092.wav,42174,避免了取暖季
wav/sample_0093.wav,145902,从购煤储煤到填煤煤渣处理的一系列的劳动
wav/sample_0094.wav,88566,消除了一氧化碳中毒和火灾的隐患
wav/sample_0095.wav,23620,改造之后
wav/sample_0096.wav,31628,居家环境
wav/sample_0097.wav,58000,乃至社区整体环境
wav/sample_0098.wav,51026,都更加的干净了
wav/sample_0099.wav,69838,这里就是大家帮助大家的一路畅通
wav/sample_0100.wav,15928,各位好
wav/sample_0101.wav,43974,早上好我是媛媛
wav/sample_0102.wav,43830,早上好我是愉悦
wav/sample_0103.wav,80136,今儿为什么来柳宗元的江雪呢
wav/sample_0104.wav,58796,但是大雪节气是已经到了
wav/sample_0105.wav,82718,看来近期出现降雪的可能没有了
wav/sample_0106.wav,25762,各位听众
wav/sample_0107.wav,157236,现在转播中央人民广播电台新闻和报纸摘要节目
wav/sample_0108.wav,42472,各位听众早上好
wav/sample_0109.wav,116736,今天是十二月七号星期四农历十月二十
wav/sample_0110.wav,49984,北京多云转晴
wav/sample_0111.wav,50728,五度到零下五度
wav/sample_0112.wav,40256,以下是内容提要
wav/sample_0113.wav,161678,习近平致信祝贺二零一七年广州财富全球论坛开幕
wav/sample_0114.wav,20134,强调
wav/sample_0115.wav,104958,中国将发展更高层次的开放型经济
wav/sample_0116.wav,100312,汪洋出席开幕式并发表主旨演讲
wav/sample_0117.wav,85914,李克强主持召开国务院常务会议
wav/sample_0118.wav,116442,部署加快推进政务信息系统整合共享
wav/sample_0119.wav,120770,以高效便捷的政务服务增进群众获得感
wav/sample_0120.wav,105888,新时代新气象新作为今天播出
wav/sample_0121.wav,106454,西藏玉麦乡的昨天今天和明天
wav/sample_0122.wav,74206,前十个月城镇新增就业
wav/sample_0123.wav,60290,一千一百九十一万人
wav/sample_0124.wav,91782,提前两个月超额完成全年目标
wav/sample_0125.wav,201748,河北塞罕坝林场建设者荣获联合国环保最高奖项地球卫士奖
wav/sample_0126.wav,85178,美丽中国赢得世界掌声
wav/sample_0127.wav,129162,普京宣布参加二零一八年俄罗斯总统选举
wav/sample_0128.wav,133430,特朗普宣布美国承认耶路撒冷为以色列首都
wav/sample_0129.wav,45184,以下是详细内容
wav/sample_0130.wav,61860,央广记者刘乐报道
wav/sample_0131.wav,148110,二零一七年广州财富全球论坛昨天上午开幕
wav/sample_0132.wav,72240,国家主席习近平发来贺信
wav/sample_0133.wav,25100,他指出
wav/sample_0134.wav,125212,本届论坛聚焦全球发展面临的关键问题
wav/sample_0135.wav,109860,与会嘉宾就此交流思想建言献策
wav/sample_0136.wav,102672,对促进世界经济增长具有积极意义
wav/sample_0137.wav,37224,习近平强调
wav/sample_0138.wav,113518,中国经济具有长期向好的光明前景
wav/sample_0139.wav,155652,有基础有条件有动力实现稳重有进持续向好
wav/sample_0140.wav,120630,中国开放的大门不会关闭只会越开越大
wav/sample_0141.wav,107220,经营环境将更加开发透明规范
wav/sample_0142.wav,96902,中国将继续发展全球伙伴关系
wav/sample_0143.wav,76016,扩大同各国的利益交汇点
wav/sample_0144.wav,94774,促进贸易和投资自由化便利化
wav/sample_0145.wav,220268,推动经济全球化朝着更加开放包容普惠平衡共赢的方向发展
wav/sample_0146.wav,116816,我们热诚欢迎全球企业家来华投资兴业
wav/sample_0147.wav,89024,共享中国改革发展带来的机遇
wav/sample_0148.wav,93830,共创中外经贸合作美好未来
wav/sample_0149.wav,133228,国务院副总理汪洋出席开幕式并发表主旨演讲
wav/sample_0150.wav,24476,他强调
wav/sample_0151.wav,85430,中国过去的发展得益于开放
wav/sample_0152.wav,113036,今后走创新驱动高质量发展之路
wav/sample_0153.wav,53614,更需要扩大开放
wav/sample_0154.wav,104844,我们将坚持积极有效利用外资的方针
wav/sample_0155.wav,91870,全面实行准入前国民待遇
wav/sample_0156.wav,70638,加负面清单的管理模式
wav/sample_0157.wav,68146,大幅度放宽市场准入
wav/sample_0158.wav,140678,抓紧制定重点领域扩大开放的时间表和路线图
wav/sample_0159.wav,77826,保护外商投资合法权益
wav/sample_0160.wav,115430,打造一视同仁公平竞争的营商环境
wav/sample_0161.wav,122944,当天汪洋在广州分别会见出席论坛的
wav/sample_0162.wav,142492,加拿大总理特鲁多和巴布亚新几内亚总理奥尼尔
wav/sample_0163.wav,207708,会见特鲁多时汪洋表示中方愿同加方一道进一步扩大双边贸易规模
wav/sample_0164.wav,137430,拓展双向投资加强创新能力开放合作
wav/sample_0165.wav,235424,会见奥尼尔时汪洋表示中方愿继续对巴布亚新几内亚发展提供力所能及的帮助
wav/sample_0166.wav,202470,支持巴布亚新几内亚明年举办亚太经合组织领导人非正式会议
wav/sample_0167.wav,101430,央广消息应国家主席习近平邀请
wav/sample_0168.wav,192836,韩国总统文在寅将于十二月十三号到十六号对中国进行国事访问
wav/sample_0169.wav,175464,央广消息国务院总理李克强昨天主持召开国务院常务会议
wav/sample_0170.wav,123404,部署加快推进政务信息系统整合共享
wav/sample_0171.wav,126364,以高效便捷的政务服务增进群众获得感
wav/sample_0172.wav,154238,确定推进公共资源配置领域政府信息公开的措施
wav/sample_0173.wav,66266,推动规范化透明化
wav/sample_0174.wav,140888,批准二零一七年度国家科学技术奖励评审结果
wav/sample_0175.wav,115940,会议指出今年以来落实国务院部署
wav/sample_0176.wav,167302,各省级政府和七十一个部门已接入国家电子政务外网
wav/sample_0177.wav,139326,下一步一要进一步整合政务信息系统
wav/sample_0178.wav,95946,接入国家数据共享交换平台
wav/sample_0179.wav,74370,依法依规向社会开放
wav/sample_0180.wav,154340,清理致使公共数据仅向特定企业社会组织开发
wav/sample_0181.wav,36942,体现公平
wav/sample_0182.wav,99090,二要加快数据通业务通
wav/sample_0183.wav,137168,年底前初步实现国务院部门四十个垂直系统
wav/sample_0184.wav,101430,向各级政务部门开放共享数据
wav/sample_0185.wav,139528,逐步满足政务部门对身份核验不动产登记
wav/sample_0186.wav,142858,学位学历证明等约五百项数据查询等需求
wav/sample_0187.wav,101850,避免企业和群众办事多头奔波
wav/sample_0188.wav,132036,应有政府提供可经信息系统查询的信息
wav/sample_0189.wav,76646,一般不得要求另开证明
wav/sample_0190.wav,95596,三要推进体制和技术创新
wav/sample_0191.wav,110734,推动政务服务一网通办全国漫游
wav/sample_0192.wav,83914,出台电子证照等基础标准
wav/sample_0193.wav,75686,五要确保信息安全
wav/sample_0194.wav,63822,需由政府部门管理
wav/sample_0195.wav,27150,央广消息
wav/sample_0196.wav,142336,国务院总理李克强近日签署第六百九十二号国务院令
wav/sample_0197.wav,69430,央广记者刘惠民报道
wav/sample_0198.wav,158720,中国民主同盟第十二次全国代表大会昨天在北京开幕
wav/sample_0199.wav,212948,中共中央政治局常委栗战书会见全体代表并代表中共中央致贺词
wav/sample_0200.wav,153688,贺词指出五年来民盟认真履行参政党职能
wav/sample_0201.wav,70750,议政建言取得新成果
wav/sample_0202.wav,179606,公布中华人民共和国反间谍法实施细则自公布之日起实行
wav/sample_0203.wav,106950,四要加快法规规章立改废
wav/sample_0204.wav,71530,履职尽责拓展新领域
wav/sample_0205.wav,72612,社会服务打开新局面
wav/sample_0206.wav,76332,自身建设再上新台阶
wav/sample_0207.wav,114974,为发展中国特设社会主义做出了积极贡献
wav/sample_0208.wav,163866,希望民盟继续发挥教育文化科技界别特色优势
wav/sample_0209.wav,56198,积极履职尽责
wav/sample_0211.wav,196472,中国特色社会主义事业亲历者实践者维护者捍卫者的政治责任
wav/sample_0212.wav,122744,中共中央相信民盟新一届中央领导机构
wav/sample_0213.wav,154018,一定能够紧密团结在以习近平同志为核心的中共中央周围
wav/sample_0214.wav,99730,不忘合作初心继续携手前进
wav/sample_0215.wav,78814,为决胜全面建成小康社会
wav/sample_0216.wav,114190,夺取新时代中国特色社会主义伟大胜利
wav/sample_0217.wav,89344,实现中华民族伟大复兴的中国梦
wav/sample_0218.wav,121922,实现人民对美好生活的向往不懈奋斗
wav/sample_0219.wav,169116,本次大会将听取和审议民盟第十一届中央委员会的工作报告
wav/sample_0220.wav,107844,审议通过中国民主同盟章程修正案
wav/sample_0221.wav,123306,选举产生民盟第十二届中央委员会
wav/sample_0222.wav,56362,央广记者候燕报道
wav/sample_0223.wav,161432,省部级干部学习贯彻习近平新时代中国特色社会主义思想
wav/sample_0224.wav,122288,和党的十九大精神集中轮训第一期研讨班
wav/sample_0225.wav,67578,昨天在中央党校开办
wav/sample_0226.wav,174820,中共中央政治局常委中央书记处书记王沪宁出席开班式并讲话
wav/sample_0227.wav,22500,他表示
wav/sample_0228.wav,183340,领导干部要增强学习贯彻习近平新时代中国特色社会主义思想
wav/sample_0229.wav,130148,和党的十九大精神的思想自觉和行动自觉
wav/sample_0230.wav,118064,在学懂弄通做实上下功夫做表率
wav/sample_0231.wav,54010,牢固树立四个意识
wav/sample_0232.wav,157082,坚决维护习近平总书记在党中央和全党的核心地位
wav/sample_0233.wav,92746,在政治立场政治方向政治原则
wav/sample_0234.wav,35704,政治道路上
wav/sample_0235.wav,129984,同以习近平同志为核心的党中央保持高度的一致
wav/sample_0236.wav,147106,为夺取新时代中国特色社会主义伟大胜利不懈奋斗
wav/sample_0237.wav,181514,连日来全军高级干部学习贯彻党的十九大精神专题研讨班
wav/sample_0238.wav,51604,在国防大学举行
wav/sample_0239.wav,120756,这次研讨班在学风上有哪些新气象
wav/sample_0240.wav,122068,成立教学管理督导组建立作风纪律巡查组
wav/sample_0241.wav,111556,向管理上的严细实等高标准下功夫
wav/sample_0242.wav,61966,学员队队长彭城仓
wav/sample_0243.wav,82076,课上没有统一的书面课件资料
wav/sample_0244.wav,121850,专题辅导的所有内容全凭自己手写记录思考
wav/sample_0245.wav,111784,课后所有人都要按时列队集合统一带回
wav/sample_0246.wav,60604,除了白天的专题辅导外
wav/sample_0247.wav,142654,他们每晚还要在自习室进行两个小时的集中统一学习
wav/sample_0248.wav,52488,直到晚上十点左右
wav/sample_0249.wav,77826,北京卫戍区司令员王春宁
wav/sample_0250.wav,35740,带一个好头
wav/sample_0251.wav,188814,中央军委装备发展部政治工作局主任汪红艳为了这次学习进行了精心准备
wav/sample_0252.wav,137166,对照专题辅导检验自己此前的思考是否精准深入
wav/sample_0253.wav,77004,首先是思想要进入新时代
wav/sample_0254.wav,66638,要结合我们每个人的工作
wav/sample_0255.wav,128162,西藏山南市隆子县玉麦乡位于中印边境
wav/sample_0256.wav,82254,全乡现有九户三十二人
wav/sample_0257.wav,127022,人口最少时只有一家三口被称为三人乡
wav/sample_0258.wav,100040,这里每年有半年多时间大雪封山
wav/sample_0259.wav,203532,半个多月前央广记者德庆白珍曾小东赶在大雪封山之前来到了玉麦乡
wav/sample_0260.wav,67424,请听他们发自玉麦的报道
wav/sample_0261.wav,35238,央广消息
wav/sample_0262.wav,80272,人力资源和社会保障部透露
wav/sample_0263.wav,170650,今年一到十月全国城镇新增就业一千一百九十一万人
wav/sample_0264.wav,154156,提前两个月超额完成一千一百万人的全年预期目标
wav/sample_0265.wav,130602,据分析就业目标提前完成主要得益于四个方面
wav/sample_0266.wav,147016,一是经济稳步增长为保持就业平稳提供支撑
wav/sample_0267.wav,126214,二零一七年前三季度GDP增速百分之六点九
wav/sample_0268.wav,112220,上半年经济增量达到二点三五万亿元
wav/sample_0269.wav,101060,经济增长的就业弹性明显增强
wav/sample_0270.wav,70644,二是经济结构优化
wav/sample_0271.wav,73384,特别是第三产业的快速发展
wav/sample_0272.wav,102506,和新产业新业态的良好发展势头
wav/sample_0273.wav,65608,对就业产生促进作用
wav/sample_0274.wav,205662,今年前三季度第三产业增加值占国内生产总值的比重为百分之五十二点九
wav/sample_0275.wav,131916,服务业对经济增长的贡献率达百分之五十八点八
wav/sample_0276.wav,57818,对就业带动明显
wav/sample_0277.wav,99730,三是得益于改革红利的释放
wav/sample_0278.wav,135880,简政放权鼓励创业创造了大量的就业机会
wav/sample_0279.wav,144826,前三季度全国新登记企业同比增长百分之十二点五
wav/sample_0280.wav,105874,日均新登记企业达一点六五万户
wav/sample_0281.wav,151046,新增企业对第三季度的就业贡献率超过百分之二十五
wav/sample_0282.wav,133666,四是得益于积极就业政策效力的进一步发挥
wav/sample_0283.wav,131916,也离不开广大劳动者的自强不息和个人努力
wav/sample_0284.wav,81976,联合国环境规划署五号宣布
wav/sample_0285.wav,149208,获得二零一七年联合国环保最高荣誉地球卫士奖
wav/sample_0286.wav,63640,宣布了今年的地球卫士奖
wav/sample_0287.wav,192574,联合国环境规划署在肯尼亚内洛贝举行的第三届联合国大会期间举办新闻发布会
wav/sample_0288.wav,68448,获得其中的激励与行动奖
wav/sample_0289.wav,50358,位于中国河北省北部
wav/sample_0290.wav,51328,占地九点三万公顷
wav/sample_0291.wav,57264,由于历史上的过度采伐
wav/sample_0292.wav,100936,北方沙漠的风沙可以肆无忌惮地刮入北京
wav/sample_0293.wav,46016,土地日渐贫瘠
wav/sample_0294.wav,76112,是我国人口最少的行政乡
wav/sample_0295.wav,85118,对事关国家安全党政务数据
wav/sample_0296.wav,29802,一九六二年
wav/sample_0297.wav,95808,数百名务林人开始在这一地区种植树木
wav/sample_0298.wav,42684,经过三代人努力
wav/sample_0299.wav,124468,将森林覆盖率从百分之十一点四提高到百分之八十
wav/sample_0300.wav,165216,目前这片人造林每年向北京和天津供应一点三七亿立方米的清洁水
wav/sample_0301.wav,85914,北京多云六度到零下五度
wav/sample_0302.wav,150940,中共中央政治局召开会议分析研究二零一八年经济工作
wav/sample_0303.wav,53252,习近平主持会议
wav/sample_0304.wav,125862,强调稳中求进工作总基调要长期坚持
wav/sample_0305.wav,169020,中共中央召开党外人士座谈会征求对经济工作的意见和建议
wav/sample_0306.wav,131110,时政解读防范风险要控制宏观杠杆率
wav/sample_0307.wav,91744,增强金融服务实体经济能力
wav/sample_0308.wav,187974,国务院扶贫办将在全国范围内开展扶贫领域作风问题专项治理
wav/sample_0309.wav,119446,四部门赴地方调研督导能源供应保障
wav/sample_0310.wav,74714,切实保障群众温暖过冬
wav/sample_0311.wav,171842,第三季度国家重大政策措施观测落实情况跟踪审计结果发布
wav/sample_0312.wav,95322,部分市县存在虚增财力现象
wav/sample_0313.wav,166104,统计显示我国创新指数提升创新型国家建设持续推进
wav/sample_0314.wav,167270,今年年底前我国将按计划禁止进口二十四种固体废物
wav/sample_0315.wav,119002,成为世界经济增长的主要动力源和稳定器
wav/sample_0316.wav,172280,对全球经济发展的影响力对全球治理的话语权大幅度提升
wav/sample_0317.wav,179942,生态环境状况明显好转居民收入增长总体快于经济增长
wav/sample_0318.wav,202262,基本公共服务均等化程度不断提高人民获得感幸福感明显增强
wav/sample_0319.wav,135740,做好明年经济工作要全面贯彻党的十九大精神
wav/sample_0320.wav,127984,以习近平新时代中国特色社会主义思想为指导
wav/sample_0321.wav,80082,加强党对经济工作的领导
wav/sample_0322.wav,85330,坚持稳中求进工作总基调
wav/sample_0323.wav,81254,紧叩我国社会主要矛盾变化
wav/sample_0324.wav,71434,按照高质量发展的要求
wav/sample_0325.wav,181254,统筹推进五位一体总体布局和协调推进四个全面战略布局
wav/sample_0326.wav,101294,坚持以供给侧结构性改革为主线
wav/sample_0327.wav,196610,统筹推进稳增长促改革调结构惠民生防风险各项工作
wav/sample_0328.wav,55880,大力推进改革开放
wav/sample_0329.wav,71338,创新和完善宏观调控
wav/sample_0330.wav,111852,推动质量变革效率变革动力变革
wav/sample_0331.wav,240854,在打好防范化解重大风险精准脱贫污染防治的攻坚战方面取得扎实进展
wav/sample_0332.wav,101662,引导和稳定预期加强和改善民生
wav/sample_0333.wav,95282,促进经济社会持续健康发展
wav/sample_0334.wav,185322,稳中求进工作总基调是治国理政的重要原则要长期坚持
wav/sample_0335.wav,281898,推动高质量发展是当前和今后一个时期确定发展思路制定经济政策实施宏观调控的根本要求
wav/sample_0336.wav,112116,必须深刻认识全面领会真正落实
wav/sample_0337.wav,141438,要统筹规划有序推进确保打赢三大攻坚战
wav/sample_0338.wav,153164,防范化解重大风险要使宏观杠杆率得到有效控制
wav/sample_0339.wav,176104,金融服务实体经济能力增强防范风险工作取得积极成效
wav/sample_0340.wav,135306,精准脱贫要瞄准特殊贫困人口精准帮扶
wav/sample_0341.wav,105456,进一步向深度贫困地区聚焦发力
wav/sample_0342.wav,84260,激发贫困人口内生脱贫动力
wav/sample_0343.wav,94148,巩固扶贫成果提高脱贫质量
wav/sample_0344.wav,235162,污染防治要使主要污染物排放总量继续明显减少生态环境质量总体改善
wav/sample_0345.wav,212600,要在协调推进各项工作的同时着力抓好重点工作力争取得明显成效
wav/sample_0346.wav,153064,要深化供给侧结构性改革 激发各类市场主体活力
wav/sample_0347.wav,218464,实施乡村振兴战略 推进区域协调发展 推动形成全面开放新格局
wav/sample_0348.wav,279260,提高保障和改善民生水平 加快住房制度改革和长效机制建设 提供更多优质生态产品
wav/sample_0349.wav,281172,会议强调 要全面加强和改善党对经济工作的领导 不折不扣落实党中央战略部署 和各项要求
wav/sample_0350.wav,266498,在换届工作中 各级党委要加强领导和统筹 确保换届工作 稳妥有序风清气正
wav/sample_0351.wav,139592,要树立正确政绩观 脚踏实地推进各项工作
wav/sample_0352.wav,191546,会议强调 在年终岁末 各地区各部门要切实做好保障和改善民生
wav/sample_0353.wav,182750,加强生产安全维护公共安全 保持社会稳定等有关工作
wav/sample_0354.wav,181454,央广消息 中共中央十二月六号在中南海召开党外人士座谈会
wav/sample_0355.wav,291228,就今年经济形式和明年经济工作听取各民主党派中央全国工商联负责人 和无党派人士代表的意见和建议
wav/sample_0356.wav,288122,中共中央总书记习近平主持座谈会并发表重要讲话 李克强俞正声张高丽王沪宁韩正出席座谈会
wav/sample_0357.wav,218196,李克强通报了今年经济工作有关情况介绍了中共中央关于过好明年经济工作的考虑
wav/sample_0358.wav,137704,在认真听取大家发言后习近平总书记做了重要讲话
wav/sample_0359.wav,274170,习近平强调 大家提出了很多建设性意见和建议听了很受启发 我们将认真研究积极吸纳
wav/sample_0360.wav,269688,五年的实践证明 中共中央对经济形势的判断对经济工作的决策 对发展思路的调整 是正确的
wav/sample_0361.wav,242392,现阶段 我国经济发展的基本特征 就是由高速增长阶段转向高质量发展阶段
wav/sample_0362.wav,285344,高质量发展是我们当前和今后一个时期 确定发展思路制定经济政策实施宏观调控的根本要求
wav/sample_0363.wav,103322,必须深刻认识全面领会真正落实
wav/sample_0364.wav,157606,习近平给各民主党派工商联和无党派人士提出三点希望
wav/sample_0365.wav,239788,一是希望大家深入学习领会中共十九大提出的重要思想重要观点重大判断重大举措
wav/sample_0366.wav,179016,引导广大成员增进对中国共产党和中国特色社会主义的政治认同
wav/sample_0367.wav,154292,把智慧和力量 凝聚到中共十九大确定的目标任务上来
wav/sample_0368.wav,210010,共同致力于新时代坚持和发展中国特色社会主义 实现中华民族伟大复兴
wav/sample_0369.wav,110518,二是希望大家充分发挥特点和优势
wav/sample_0370.wav,212600,在融入大局服务大局保障大局中 找准履职尽责的切入点和突破口
wav/sample_0371.wav,103340,深入进行调查研究提出真知灼见
wav/sample_0372.wav,108914,协助党委和政府做好矛盾化解工作
wav/sample_0373.wav,91072,积极营造团结稳定的社会环境
wav/sample_0374.wav,211314,三是希望各民主党派以换届为契机 继承和发扬多党合作的优良传统
wav/sample_0375.wav,187466,深化政治交接 加强思想组织制度 特别是领导班子建设
wav/sample_0376.wav,115696,提高中国特色社会主义参政党建设水平
wav/sample_0377.wav,185662,他还希望工商联加强自身建设做好代表人士教育培养工作
wav/sample_0378.wav,173422,中共中央政治局昨天召开的会议对明年的经济工作提出了多项要求
wav/sample_0379.wav,231258,比如要使宏观杠杆率得到有效控制 要加快住房制度改革 和长效机制建设等
wav/sample_0380.wav,138174,对于这些问题 专家向央广记者马闯做了部分解读
wav/sample_0381.wav,278168,在国家信息中心经济预测部宏观经济研究室主任牛离看来稳中求进是我们处理经济工作的一个方法论
wav/sample_0382.wav,174008,会议指出防范化解重大风险要使宏观杠杆率得到有效控制
wav/sample_0383.wav,82256,金融服务实体经济能力增强
wav/sample_0384.wav,105702,如何让防范风险工作取得积极成效
wav/sample_0385.wav,109310,国务院发展研究中心研究院张立群表示
wav/sample_0386.wav,92944,一方面 要稳定杠杆率增加的速度
wav/sample_0387.wav,94280,另一方面 就是要推动实体经济发展
wav/sample_0388.wav,163292,昨天的会上还提出 要加快住房制度改革和长效机制建设
wav/sample_0389.wav,135840,在篇幅不长的消息稿中 这十多个字最受大家关注
wav/sample_0390.wav,171022,去年此时 中央政治局会议便已经提出建立房地产长效机制
wav/sample_0391.wav,154834,牛离认为 在房价飙升已经严重影响百姓生活的情况下
wav/sample_0392.wav,62506,改革的步伐需要加快
wav/sample_0393.wav,191546,全国人大常委会委员长张德江昨天在人民大会堂会见了马尔代夫总统亚明
wav/sample_0394.wav,163560,按照两国元首的战略指引深入开展立法治国理政经验交流
wav/sample_0395.wav,282098,积极促进旅游教育青年等人文交流 为新时期中马关系实现更大发展 奠定法律和民意基础
wav/sample_0396.wav,229988,当天下午马尔代夫总统亚明前往北京天安门广场向人民英雄纪念碑敬献花圈
wav/sample_0397.wav,188158,国务院副总理张高丽昨天在北京会见了 国际能源署执行干事比罗尔
wav/sample_0398.wav,275974,张高丽表示 习近平总书记强调 中国将坚定不移贯彻创新协调绿色开放共享的发展理念
wav/sample_0399.wav,272172,重大清洁能源产业 推进能源生产和消费革命 构建清洁低碳安全高效的能源体系
wav/sample_0400.wav,236012,中国愿与国际能源署加强合作 共同推进中国能源绿色发展和能源国际合作
